Audit Log - [AuditID: 20250320004941322001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:41.323257, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004941325002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:41.325460, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004941325003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:41.325623, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004941325004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:41.325759, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004959358001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:59.359248, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004959361002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:59.361591, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004959361003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:59.361756, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320004959361004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:49:59.361891, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005018552005, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:50:18.552270, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005018552006, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:50:18.552586, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005018552007, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:50:18.552734, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005018552008, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:50:18.552886, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005036923009, UserID: D002, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:50:36.923350, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250320005155420001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:51:55.421710, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005155423002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:51:55.423991, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005155424003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:51:55.424160, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005155424004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:51:55.424298, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005734079001, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:57:34.079799, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005734082002, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:57:34.082252, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005734082003, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:57:34.082446, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005734082004, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:57:34.082593, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005915360001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:15.360759, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005915362002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:15.362838, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005915362003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:15.363, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005915363004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:15.363134, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320005919689005, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:19.689379, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005919689006, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:19.689744, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005919689007, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:19.690027, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320005919690008, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T00:59:19.690193, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320155221831001, UserID: D001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T15:52:21.831941, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250320191035844001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:35.845253, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191035847002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:35.847742, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191035847003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:35.847913, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191035848004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:35.848062, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191043762005, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:43.762789, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191043763006, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:43.764236, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191043765007, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:43.765196, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191043765008, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:10:43.766102, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250320191745291001, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:17:45.292618, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320191745295002, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:17:45.295344, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320191745295003, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:17:45.295543, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320191745295004, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:17:45.295711, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
Audit Log - [AuditID: 20250320193409676001, UserID: A001, Action: LOGIN, Target: System, Timestamp: 2025-03-20T19:34:09.677834, Outcome: SUCCESS, Device: PC1, Role: ADMIN]
