Audit Log - [AuditID: 20250319000026252002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-19T00:00:26.252546500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250319000026253003, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-19T00:00:26.253083500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250319130822916001, UserID: D001, Action: LOGIN, Target: System, Timestamp: 2025-03-19T13:08:22.916069500, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250319131037292002, UserID: D001, Action: USER ENTERED: no, Target: CDSS diagnosis, Timestamp: 2025-03-19T13:10:37.292230200, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250319131040660003, UserID: D001, Action: DIAGNOSE PATIENT, Target: Patient: P003, Timestamp: 2025-03-19T13:10:40.660043300, Outcome: OVERRIDDEN, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250319131040661004, UserID: D001, Action: USER ENTERED: Fever, Target: Patient: P003's override diagnosis, Timestamp: 2025-03-19T13:10:40.661081200, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250319131056812005, UserID: D001, Action: USER ENTERED: yes, Target: CDSS diagnosis, Timestamp: 2025-03-19T13:10:56.812214100, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250319131058916006, UserID: D001, Action: DIAGNOSE PATIENT, Target: Patient: P006, Timestamp: 2025-03-19T13:10:58.916261200, Outcome: SUCCESS, Device: PC1, Role: DOCTOR]
Audit Log - [AuditID: 20250319131115188007, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-19T13:11:15.188720300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250319131115188008, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-19T13:11:15.188720300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250319131506580009, UserID: P001, Action: LOGIN, Target: System, Timestamp: 2025-03-19T13:15:06.581162400, Outcome: SUCCESS, Device: PC1, Role: PATIENT]
