Audit Log - [AuditID: 20250329133611066001, UserID: N002, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:36:11.066322400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133611083002, UserID: N002, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:36:11.083310800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133616517003, UserID: N002, Action: ENTER CASE ID, Target: 123, Timestamp: 2025-03-29T13:36:16.517177700, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133616523004, UserID: N002, Action: UPDATE INITIAL SCREENING NURSE, Target: 22, Timestamp: 2025-03-29T13:36:16.523226300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133616523005, UserID: N002, Action: UPDATE LOCATION TO TRIAGE ROOM, Target: 22, Timestamp: 2025-03-29T13:36:16.523226300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133616523006, UserID: N002, Action: UPDATE PATIENT STATUS TO ONGOING, Target: 22, Timestamp: 2025-03-29T13:36:16.523226300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133616528007, UserID: NURSE, Action: PROCEED WITH INITIAL SCREENING, Target: 22, Timestamp: 2025-03-29T13:36:16.528057100, Outcome: ONGOING, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133618266008, UserID: N002, Action: ENTER TRIAGE LEVEL: 1, Target: 22, Timestamp: 2025-03-29T13:36:18.266563900, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250329133637821001, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:36:37.821285600, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133637835002, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:36:37.835506600, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133637842003, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:36:37.842245400, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133637845004, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:36:37.845136400, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133638949005, UserID: PA001, Action: VIEW ALL DISPATCH CASE, Target: DISPATCH CASE, Timestamp: 2025-03-29T13:36:38.949929, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133648699006, UserID: PA001, Action: ENTER CASE ID, Target: 12, Timestamp: 2025-03-29T13:36:48.699345400, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133650033007, UserID: PA001, Action: SELECTING MORE CHOICES, Target: 12, Timestamp: 2025-03-29T13:36:50.033041600, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133650042008, UserID: PA001, Action: UPDATE DISPATCH CASE ARRIVAL TIME, Target: 12, Timestamp: 2025-03-29T13:36:50.042796200, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133650048009, UserID: PARAMEDIC, Action: PROCEED WITH INITIAL SCREENING, Target: 12, Timestamp: 2025-03-29T13:36:50.048502200, Outcome: ONGOING, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133923792001, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:39:23.796128900, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250329133923808002, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-29T13:39:23.808662400, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
