Audit Log - [AuditID: 20250325003227773001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T00:32:27.775016400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325003227779002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T00:32:27.780731400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325103022466001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:30:22.470684200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325103022477002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:30:22.477834400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325103521501001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:35:21.505666400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325103521523002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:35:21.523130300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325103604765001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:36:04.773088900, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325103604780002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:36:04.780927800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325104117469001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:41:17.476929300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325104117485002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:41:17.485663300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325104631488001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:46:31.488006800, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325104631497002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:46:31.497666700, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325104631497003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:46:31.497666700, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325104638196004, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:46:38.199171600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325104638199005, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:46:38.199171600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325105011624001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:50:11.626173600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325105011631002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:50:11.631344300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325105722694001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:57:22.699068900, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325105722700002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:57:22.700467, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325105922397001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:59:22.413311200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325105922419002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T10:59:22.422637200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325110618164001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T11:06:18.169792, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325110618178002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T11:06:18.178042900, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120107060001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:01:07.060007500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120107068002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:01:07.068485400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120207056001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:02:07.058917400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120207068002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:02:07.068074200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120521281001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:05:21.282580, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120521292002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:05:21.292321100, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120705004001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:07:05.008648400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325120705013002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:07:05.013445500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325122619918001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:26:19.921364200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325122619929002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:26:19.929427300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325122716194001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:27:16.197956200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325122716206002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:27:16.206714800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325122831632001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:28:31.633648800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325122831643002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:28:31.643506200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325123504333001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:35:04.337400400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325123504346002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:35:04.346512400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325123604504001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:36:04.504258200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325123604514002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:36:04.514556700, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124212260001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:42:12.263322200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124212272002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:42:12.272060200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124229823001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:42:29.827328, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124229834002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:42:29.834222100, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124441662001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:44:41.662405500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124441662002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:44:41.673668800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124811261001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:48:11.263641800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325124811273002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T12:48:11.273299300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325141740548001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:17:40.551263600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325141740556002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:17:40.556578700, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325141815139001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:18:15.141365200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325141815152002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:18:15.155715400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325142224030001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:22:24.034206300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325142224042002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:22:24.042481300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325142914687001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:29:14.690948200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325142914701002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:29:14.701749, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325143240327001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:32:40.333512200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325143240341002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:32:40.341560300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325144215487001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:42:15.487472, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325144215498002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:42:15.498977200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325144912015001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:49:12.019183900, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325144912028002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:49:12.028333800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325145126243001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:51:26.246624400, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325145126254002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:51:26.254870200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325145403712001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:54:03.717603600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325145403724002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-25T14:54:03.724157, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250325150726681001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:07:26.681386, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325150726693002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:07:26.693415700, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325150726693003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:07:26.693415700, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325150726693004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:07:26.693415700, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325151414374001, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:14:14.378794900, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325151414388002, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:14:14.388873800, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325151414388003, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:14:14.388873800, Outcome: FAILED, Device: PC1, Role: ]
Audit Log - [AuditID: 20250325151414388004, UserID: NIL, Action: LOGIN, Target: System, Timestamp: 2025-03-25T15:14:14.388873800, Outcome: FAILED, Device: PC1, Role: ]
